Class ID,Course Code,Status,Capacity,Count,Course Title,Section,Faculty,Type,Day,Start Time,End Time,Room,Department
00001,,Freshman,40,40,JURISPRUDENCE [F1],F1,-,Theory,Sunday,9:40 AM,11:00 AM,6103,FACULTY OF ARTS AND SOCIAL SCIENCES
00001,,Freshman,40,40,JURISPRUDENCE [F1],F1,-,Theory,Tuesday,9:40 AM,11:00 AM,6103,FACULTY OF ARTS AND SOCIAL SCIENCES
00002,,Freshman,38,38,JURISPRUDENCE [F2],F2,-,Theory,Monday,9:40 AM,11:00 AM,6103,FACULTY OF ARTS AND SOCIAL SCIENCES
00002,,Freshman,38,38,JURISPRUDENCE [F2],F2,-,Theory,Wednesday,9:40 AM,11:00 AM,6103,FACULTY OF ARTS AND SOCIAL SCIENCES
00003,,Freshman,40,40,LEGAL SYSTEM OF BANGLADESH [F1],F1,-,Theory,Sunday,11:20 AM,12:40 PM,6103,FACULTY OF ARTS AND SOCIAL SCIENCES
00003,,Freshman,40,40,LEGAL SYSTEM OF BANGLADESH [F1],F1,-,Theory,Tuesday,11:20 AM,12:40 PM,6103,FACULTY OF ARTS AND SOCIAL SCIENCES
00004,,Freshman,38,38,LEGAL SYSTEM OF BANGLADESH [F2],F2,-,Theory,Monday,1:00 PM,2:20 PM,6110,FACULTY OF ARTS AND SOCIAL SCIENCES
00004,,Freshman,38,38,LEGAL SYSTEM OF BANGLADESH [F2],F2,-,Theory,Wednesday,1:00 PM,2:20 PM,6110,FACULTY OF ARTS AND SOCIAL SCIENCES
00005,,Freshman,40,40,LEGAL HISTORY [F1],F1,-,Theory,Sunday,2:40 PM,4:00 PM,6103,FACULTY OF ARTS AND SOCIAL SCIENCES
00005,,Freshman,40,40,LEGAL HISTORY [F1],F1,-,Theory,Tuesday,2:40 PM,4:00 PM,6103,FACULTY OF ARTS AND SOCIAL SCIENCES
00006,,Freshman,38,38,LEGAL HISTORY [F2],F2,-,Theory,Monday,8:00 AM,9:20 AM,6103,FACULTY OF ARTS AND SOCIAL SCIENCES
00006,,Freshman,38,38,LEGAL HISTORY [F2],F2,-,Theory,Wednesday,8:00 AM,9:20 AM,6103,FACULTY OF ARTS AND SOCIAL SCIENCES
00007,,Freshman,40,40,LAW OF CONTRACT [F1],F1,-,Theory,Monday,1:00 PM,2:20 PM,6112,FACULTY OF ARTS AND SOCIAL SCIENCES
00007,,Freshman,40,40,LAW OF CONTRACT [F1],F1,-,Theory,Wednesday,1:00 PM,2:20 PM,6112,FACULTY OF ARTS AND SOCIAL SCIENCES
00008,,Freshman,38,38,LAW OF CONTRACT [F2],F2,-,Theory,Sunday,1:00 PM,2:20 PM,6103,FACULTY OF ARTS AND SOCIAL SCIENCES
00008,,Freshman,38,38,LAW OF CONTRACT [F2],F2,-,Theory,Tuesday,1:00 PM,2:20 PM,6103,FACULTY OF ARTS AND SOCIAL SCIENCES
00009,,Open,40,36,LAW OF CONTRACT [S2-A],S2-A,-,Theory,Monday,2:40 PM,4:00 PM,6116,FACULTY OF ARTS AND SOCIAL SCIENCES
00009,,Open,40,36,LAW OF CONTRACT [S2-A],S2-A,-,Theory,Wednesday,2:40 PM,4:00 PM,6116,FACULTY OF ARTS AND SOCIAL SCIENCES
00010,,Open,40,34,LAW OF CONTRACT [S2-B],S2-B,-,Theory,Sunday,8:00 AM,9:20 AM,6110,FACULTY OF ARTS AND SOCIAL SCIENCES
00010,,Open,40,34,LAW OF CONTRACT [S2-B],S2-B,-,Theory,Tuesday,8:00 AM,9:20 AM,6110,FACULTY OF ARTS AND SOCIAL SCIENCES
00011,,Open,40,38,LAW OF CONTRACT [S3-A],S3-A,-,Theory,Sunday,9:40 AM,11:00 AM,6106,FACULTY OF ARTS AND SOCIAL SCIENCES
00011,,Open,40,38,LAW OF CONTRACT [S3-A],S3-A,-,Theory,Tuesday,9:40 AM,11:00 AM,6106,FACULTY OF ARTS AND SOCIAL SCIENCES
00012,,Open,40,39,LAW OF CONTRACT [S3-B],S3-B,-,Theory,Monday,11:20 AM,12:40 PM,6106,FACULTY OF ARTS AND SOCIAL SCIENCES
00012,,Open,40,39,LAW OF CONTRACT [S3-B],S3-B,-,Theory,Wednesday,11:20 AM,12:40 PM,6106,FACULTY OF ARTS AND SOCIAL SCIENCES
00013,,Freshman,40,40,FRESHMAN ORIENTATION [F1],F1,-,Theory,Monday,11:20 AM,12:40 PM,6110,FACULTY OF ARTS AND SOCIAL SCIENCES
00013,,Freshman,40,40,FRESHMAN ORIENTATION [F1],F1,-,Theory,Wednesday,11:20 AM,12:40 PM,6110,FACULTY OF ARTS AND SOCIAL SCIENCES
00014,,Freshman,38,38,FRESHMAN ORIENTATION [F2],F2,-,Theory,Sunday,9:40 AM,11:00 AM,6202,FACULTY OF ARTS AND SOCIAL SCIENCES
00014,,Freshman,38,38,FRESHMAN ORIENTATION [F2],F2,-,Theory,Tuesday,9:40 AM,11:00 AM,6202,FACULTY OF ARTS AND SOCIAL SCIENCES
00015,,Freshman,40,40,INTERMEDIATE ENGLISH [F1],F1,-,Theory,Monday,2:40 PM,4:00 PM,TBA,FACULTY OF ARTS AND SOCIAL SCIENCES
00015,,Freshman,40,40,INTERMEDIATE ENGLISH [F1],F1,-,Theory,Wednesday,2:40 PM,4:00 PM,TBA,FACULTY OF ARTS AND SOCIAL SCIENCES
00016,,Freshman,38,38,INTERMEDIATE ENGLISH [F2],F2,-,Theory,Sunday,8:00 AM,9:20 AM,TBA,FACULTY OF ARTS AND SOCIAL SCIENCES
00016,,Freshman,38,38,INTERMEDIATE ENGLISH [F2],F2,-,Theory,Tuesday,8:00 AM,9:20 AM,TBA,FACULTY OF ARTS AND SOCIAL SCIENCES
00017,,Closed,40,0,INTERNATIONAL LAW OF THE SEA [LL.M] [A],A,-,,,,,,
00018,,Closed,40,0,INTERNATIONAL ORGANIZATIONS [LL.M] [A],A,-,,,,,,
00019,,Closed,40,0,COMPARATIVE LEGAL SYSTEM [LL.M] [A],A,-,,,,,,
00020,,Freshman,40,0,GENDER AND FAMILY LAW [LL.M] [K1],K1,-,Theory,Sunday,6:00 PM,9:00 PM,1114,FACULTY OF ARTS AND SOCIAL SCIENCES
00021,,Freshman,50,49,INTRODUCTION TO PHARMACY [L1],L1,-,Theory,Monday,11:20 AM,12:40 PM,6202,FACULTY OF HEALTH AND LIFE SCIENCES
00021,,Freshman,50,49,INTRODUCTION TO PHARMACY [L1],L1,-,Theory,Wednesday,8:00 AM,9:20 AM,6202,FACULTY OF HEALTH AND LIFE SCIENCES
00022,,Freshman,50,49,PHARMACOGNOSY & NUTRACEUTICALS [L1],L1,-,Theory,Monday,2:40 PM,4:00 PM,3202,FACULTY OF HEALTH AND LIFE SCIENCES
