Class ID,Course Code,Status,Capacity,Count,Course Title,Section,Faculty,Type,Day,Start Time,End Time,Room,Department
00001,,Freshman,50,42,INTRODUCTION TO PHARMACY [L1],L1,-,Theory,Monday,11:20 AM,12:40 PM,6202,FACULTY OF HEALTH AND LIFE SCIENCES
00001,,Freshman,50,42,INTRODUCTION TO PHARMACY [L1],L1,-,Theory,Wednesday,11:20 AM,12:40 PM,6202,FACULTY OF HEALTH AND LIFE SCIENCES
00002,,Freshman,50,42,PHARMACOGNOSY & NUTRACEUTICALS [L1],L1,-,Theory,Monday,2:40 PM,4:00 PM,6202,FACULTY OF HEALTH AND LIFE SCIENCES
00002,,Freshman,50,42,PHARMACOGNOSY & NUTRACEUTICALS [L1],L1,-,Theory,Wednesday,2:40 PM,4:00 PM,6202,FACULTY OF HEALTH AND LIFE SCIENCES
00003,,Freshman,25,25,PHARMACOGNOSY & NUTRACEUTICALS LAB [L1-A],L1-A,-,Lab,Sunday,8:00 AM,11:00 AM,DE0501,FACULTY OF HEALTH AND LIFE SCIENCES
00004,,Freshman,25,17,PHARMACOGNOSY & NUTRACEUTICALS LAB [L1-B],L1-B,-,Lab,Tuesday,8:00 AM,11:00 AM,DE0501,FACULTY OF HEALTH AND LIFE SCIENCES
00005,,Open,40,19,ENGLISH READING SKILLS & PUBLIC SPEAKING [A],A,-,Theory,Sunday,1:00 PM,2:30 PM,6113,FACULTY OF ARTS AND SOCIAL SCIENCES
00005,,Open,40,19,ENGLISH READING SKILLS & PUBLIC SPEAKING [A],A,-,Theory,Tuesday,1:00 PM,2:30 PM,6113,FACULTY OF ARTS AND SOCIAL SCIENCES
00006,,Cancel,40,1,ENGLISH READING SKILLS & PUBLIC SPEAKING [B],B,-,Theory,Monday,1:00 PM,2:30 PM,6113,FACULTY OF ARTS AND SOCIAL SCIENCES
00006,,Cancel,40,1,ENGLISH READING SKILLS & PUBLIC SPEAKING [B],B,-,Theory,Wednesday,1:00 PM,2:30 PM,6113,FACULTY OF ARTS AND SOCIAL SCIENCES
00007,,Freshman,40,40,ENGLISH READING SKILLS & PUBLIC SPEAKING [B1],B1,-,Theory,Sunday,8:00 AM,9:30 AM,5108,FACULTY OF ARTS AND SOCIAL SCIENCES
